Date,Location,Type,Ward,Neighborhood,Notes,,,
01.23.2025,16th and New York Ave NE,"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",5,Brentwood/Ivy City,may not have happened,,,
02.04.2025,801 K St NW (Carnegie Library),"Full Clean-up 
Bio-hazard Removal",2,Mt. Vernon Sq.,rescheduled twice from early Jan. ,,,
02.04.2025,3527 Connecticut Ave NW (Cleavland Park Metro Entrance),"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",3,Cleveland Park,rescheduled twice from early Jan. ,,,
02.05.2025,1743 Lincoln Rd NE (Harry Thomas Rec Center/Emory School),"Full Clean-up 
Bio-hazard Removal
Enforcement that this rec center/school property must remain clear at all times due to safety concerns",5,Eckington,,,,
02.05.2025,17th and U St NW (Third District Police Station),"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",1,U Street,did not happen,,,
02.26.2025,25th and Virginia Ave NW,"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",2,Foggy Bottom,"did not happen, scheduled then dissappeared ",,,
02.26.2025,26th and L St NW,"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",2,West End,"did not happen, scheduled then dissappeared ",,,
02.27.2025,Washington Circle NW (Both Sides),"Full Clean-up 
Bio-hazard Removal",2,Foggy Bottom,cancelled,,,
02.28.2025,20th and E St NW,"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",2,Foggy Bottom,,,,
02.28.2025,23rd and E St NW,"Full Clean-up 
Bio-hazard Removal
Enforcement that this DDOT space must remain clear at all times due to safety concerns",2,Foggy Bottom,,,,
03.04.2025,2230 Adams Place NE ,"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",5,Brentwood/Langdon,had been rescheuled from earlier in the year due to weather,,,
03.07.2026,E St. Expressway NW (Virginia Ave Exit),"Full Clean-up 
Bio-hazard Removal
Enforcement that this DDOT/public space must remain clear at all times due to safety concerns",2,Foggy Bottom,Trump ordered,,,
03.11.2025,1899 Ninth St NE,"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",5,Brentwood,had been resdhedule three times from early Jan.,,,
03.12.2025,901 26th St NW (Fenced Area),"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",2,Georgetown,,,,
03.12.2025,27th and K St NW (Whitehurst Hill),"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",2,Georgetown/West End,had been rescheduled three times from early Jan. ,,,followed by immediete disposition 
03.13.2025,15th and P St NW,"Full Clean-up 
Bio-hazard Removal",2,Logan Circle,"unclear if happened, disapperad from site?",,,
03.13.2025,2nd and D St NW (Tunnel Exit),"Full Clean-up 
Bio-hazard Removal
Enforcement that this DDOT space must remain clear at all times due to safety concerns",6,East End,had been reschedued at least once from 3.05,,,
